Outplant Date,Monitoring Date,Temp,Site,Lat,Long,Total # of Corals Outplanted,Genus,Species,Genotype ID,Area at Time of Outplanting,Area at 90 Day Monitoring,Area at 12 Month Monitoring,Change in Area T0-T1,Percent Change in Area T0-T1,Number of Clusters at Time of Outplanting,Number of Clusters at 90 Day Monitoring,Number of Clusters at 12 Month Monitoring,Cluster Survival at 90 Day Monitoring,Change in Area T0-T2,Percent Change in Area T0-T2,Cluster Survival at 12 Month Monitoring
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN10,241.68,184.06,NA,-57.62,-23.8414432307183,3,3,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN11,225.13,157.35,NA,-67.78,-30.1070492604273,2,2,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN21,177,203.44,NA,26.44,14.9378531073446,2,2,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN30,71.11,79.41,NA,8.3,11.6720573758965,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN46,280.1,331,NA,50.9,18.1720813995002,3,3,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Colpophyllia,natans,CN7,51.05,57.43,NA,6.38,12.4975514201763,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL11,95.38,91.17,NA,-4.20999999999999,-4.41392325435101,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL12,55.13,38.3,NA,-16.83,-30.5278432795211,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL153,28.59,27.05,NA,-1.54,-5.38649877579573,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL154,65.7,53.33,NA,-12.37,-18.8280060882801,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL156,28.89,20.64,NA,-8.25,-28.5565939771547,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL157,39.74,30.63,NA,-9.11,-22.9240060392552,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL159,33.14,43.09,NA,9.95,30.02414001207,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL16,66.43,62.03,NA,-4.39999999999999,-6.62351347282853,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL165,31.09,17.41,NA,-13.68,-44.0012865873271,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL180,116.44,123.39,NA,6.95,5.96873926485744,2,2,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL183,68.21,63.51,NA,-4.7,-6.89048526609001,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL188,58.25,56.69,NA,-1.56,-2.67811158798284,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL2,37.09,29.44,NA,-7.65,-20.625505527096202,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL264,37.89,35.91,NA,-1.98,-5.22565320665084,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL270,70.79,83.57,NA,12.78,18.0533973725102,2,2,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL271,92.72,107.57,NA,14.85,16.0159620362381,2,2,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL3,214.08,112.48,NA,-101.6,-47.4588938714499,5,5,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL5,46.66,27.68,NA,-18.98,-40.677239605658,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Diploria,labyrinthiformis,DL9,43.32,39.39,NA,-3.93,-9.07202216066482,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC106,69.23,80.6,NA,11.37,16.4235158168424,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC126,51.15,38.99,NA,-12.16,-23.7732160312805,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC127,75.72,82.91,NA,7.19,9.49550977284733,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC19,123.3,113.31,NA,-9.98999999999999,-8.10218978102189,3,3,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC36,33.16,44.2,NA,11.04,33.2931242460796,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC40,68.04,67.71,NA,-0.329999999999984,-0.485008818342128,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC62,66.52,80.25,NA,13.73,20.6404088995791,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC63,41.61,33.49,NA,-8.12,-19.5145397740928,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC93,52.88,58.91,NA,6.03,11.4031770045386,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Montastraea,cavernosa,MC94,81.31,88.13,NA,6.81999999999999,8.38765219530192,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF1041,118.89,130.44,NA,11.55,9.71486247792076,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF182,34.22,49.41,NA,15.19,44.3892460549386,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF457,133.46,48,NA,-85.46,-64.0341675408362,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF675,41.28,52.85,NA,11.57,28.0281007751938,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF677,57.23,64.36,NA,7.13,12.4585007863009,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF773,59.6,57.47,NA,-2.13,-3.57382550335571,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF801,50.98,75.25,NA,24.27,47.6069046684974,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF977,229.88,247.44,NA,17.56,7.63876805289716,3,3,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF979,119.05,100.85,NA,-18.2,-15.2876942461151,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF985,112.79,136.62,NA,23.83,21.1277595531519,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF993,115.88,19.98,NA,-95.9,-82.7580255436659,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Orbicella,faveolata,OF995,83.28,79.95,NA,-3.33,-3.9985590778098,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Porites,asteroides,PA106,155.18,130.55,NA,-24.63,-15.8718907075654,5,5,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Porites,asteroides,PA111,23.08,0,NA,-23.08,-100,1,0,NA,0,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Porites,asteroides,PA47,42.77,30.48,NA,-12.29,-28.7350946925415,1,1,NA,100,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Porites,asteroides,PA50,195.36,79.97,NA,-115.39,-59.0653153153153,6,2,NA,33.3333333333333,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Porites,asteroides,PA51,21.89,0,NA,-21.89,-100,1,0,NA,0,NA,NA,NA
2026-05-31,2026-08-31,87,MS_P001,24.51012,-81.56895,1251,Pseudodiploria,clivosa,PC15,88.88,0,NA,-88.88,-100,1,0,NA,0,NA,NA,NA
